-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-
-;;-;-;-;-;-;-;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;-
-;;-;.;.;.;.;-;;;#;;;;;;;;;;;;;;;#;;;;;;;;#;;;;;-
-;;-;.;.;.;.;-;;;#;;;;-;-;-;-;-;-;-;-;;;;#;;;;;;;;#;;;;;-
-;;-;.;.;.;.;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;-;-;-;+;-;-;-;;-
-;;-;.;.;.;.;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;.;.;.;.;+;#;#;#;;;;-;.;.;@;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;.;.;.;.;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;.;.;.;.;-;;;#;#;#;#;+;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;.;.;.;.;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;.;.;.;.;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;-;-;-;+;-;-;;;#;;;;-;.;.;.;.;.;.;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;;;;;#;;;;-;.;.;.;.;.;.;-;;;;#;#;#;#;+;.;.;.;.;.;=;-;;-
-;;;;;#;;;;;#;;;;-;-;-;-;-;+;-;-;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;;;;;#;;;;;;;;;#;;;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;;;;;#;;;;;;;;;#;;;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;;;;;#;;;;;;;;;#;;;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;#;#;#;#;#;#;#;#;;;;;;#;;;;;;#;;;;-;.;.;.;.;.;.;-;;-
-;;;;;#;;;;;;;;#;;;;;;#;;;;;;#;;;;-;-;-;-;+;-;-;-;;-
-;;;;;#;;;;;;;;#;;;;;;#;;;;;;#;;;;;;;;#;;;;;-
-;;;;;#;;;;;;;;#;;;;;;#;;;;;;#;;;;;;;;#;;;;;-
-;;;;;#;;;;;;;;#;;;;;;#;;;;;;#;;;;;;;;#;;;;;-
-;;-;-;-;+;-;-;-;-;-;;;#;;;;;;#;;;;;;#;;;;;;;;#;;;;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;;;;;#;;;;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;+;#;#;#;#;#;#;#;#;#;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;;;;;;;#;#;#;#;#;;;;;;;#;;-
-;;-;.;.;.;.;.;.;.;-;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;-;-;-;-;-;-;+;-;-;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;;;;;;;#;;;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;;;;;;;#;;;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;;;;;;;#;;;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;;;;;;;#;;;;;#;;;;;;;;;;;;#;;;;#;;;;;;;#;;-
-;;;;;;;;#;;;;;#;;;;;;;;;;;;#;;;;#;#;#;#;#;#;#;#;;-
-;;;;;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;;;;;;;-
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-
-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
